;year;avgsentlen
FRA03001;1885;19.0876996357523
FRA03901;1869;22.0632561354995
FRA20014;1772;22.8517722878625
FRA41166;1867;15.4609691222389
FRA02402;1900;19.0008125126955
FRA41184;1886;18.568705200549
FRA40728;1907;28.2380952380952
FRA40477;1881;20.9039457951375
FRA40037;1863;23.9137004701142
FRA40471;1848;27.6540198735321
FRA40168;1877;20.0172707052205
FRA05301;1906;22.0167847817978
FRA01303;1862;21.7655076009086
FRA40177;1879;19.8146708138932
FRA06501;1897;15.7327001356852
FRA05601;1909;15.9544941707409
FRA20079;1798;17.6133603238866
FRA40450;1846;25.9922403003755
FRA03701;1872;23.229285573706
FRA40731;1857;21.6318342151675
FRA40380;1866;19.2969465648855
FRA04102;1863;23.3713901947616
FRA40419;1886;29.161918328585
FRA40379;1867;20.6957566052842
FRA40127;1842;21.3892790597678
FRA40740;1843;24.5265423242468
FRA40472;1849;35.4304110946013
FRA00601;1881;17.0485150054424
FRA04401;1916;18.529449098756
FRA20053;1787;20.9647517624119
FRA40447;1875;21.8097667638484
FRA40567;1840;22.9319330999611
FRA01402;1874;23.6005291005291
FRA01801;1844;29.3870702643474
FRA40456;1859;22.1049649217485
FRA40440;1845;24.1865994236311
FRA40719;1890;18.614642786853
FRA40373;1884;17.7372538440788
FRA20056;1777;26.9308176100629
FRA41199;1889;19.5566762728146
FRA02602;1878;22.6145564821835
FRA40742;1856;36.5423255813953
FRA40032;1869;23.0117252931323
FRA40405;1893;37.3780778395552
FRA40304;1877;24.2983725135624
FRA40083;1872;21.6592105263158
FRA20039;1797;38.8869196205691
FRA40727;1844;30.3601182477829
FRA20046;1788;22.3965728274174
FRA20091;1789;19.122736064709
FRA40484;1874;21.1919160752854
FRA40318;1878;20.080378250591
FRA01401;1877;16.7911877394636
FRA40410;1878;23.324135839903
FRA40095;1870;20.574017284639
FRA40128;1842;21.8181426106958
FRA40615;1843;18.2234667645979
FRA40060;1886;22.7390221523135
FRA02201;1888;20.7658926532166
FRA40088;1875;18.3071965628357
FRA20005;1778;30.236036036036
FRA41173;1868;16.0039083318529
FRA40613;1881;19.7515966386555
FRA20074;1767;22.9508073601202
FRA20081;1774;17.1146044624746
FRA40648;1881;19.5741239892183
FRA40054;1887;19.1195952161914
FRA02901;1903;24.6680358476475
FRA03704;1840;25.8572381587725
FRA20093;1787;58.7634487840825
FRA40452;1844;21.7570450565197
FRA06401;1876;18.3567296567682
FRA40643;1862;17.9126491646778
FRA20085;1782;25.9559644095913
FRA04203;1908;21.8363970588235
FRA40081;1884;20.8013263332412
FRA40618;1859;17.6426525863612
FRA40442;1843;26.4237079573421
FRA41155;1866;18.4987329552311
FRA40423;1886;17.4835380835381
FRA20040;1765;36.0659242761693
FRA00102;1883;20.4523953911461
FRA01103;1890;22.0993949870354
FRA01302;1857;19.8860002780481
FRA20009;1751;40.269696969697
FRA40627;1843;17.1454005934718
FRA40311;1874;18.9437493428662
FRA41170;1859;17.1515563408998
FRA40052;1885;17.2397472432165
FRA40718;1892;23.0043859649123
FRA40350;1881;18.6029511918275
FRA00303;1881;24.097051917558
FRA02502;1897;33.4329150579151
FRA20028;1798;26.3401677539609
FRA00901;1867;19.2691955286788
FRA01501;1912;22.8360566448802
FRA40144;1899;26.0741457124436
FRA20032;1768;31.561099796334
FRA40609;1850;15.8246423627134
FRA06901;1879;19.30259222333
FRA40016;1882;28.9115105426892
FRA01202;1857;14.9788740705771
FRA40302;1858;23.6579894179894
FRA20043;1786;30.1606280193237
FRA20098;1765;28.4617629889083
FRA40008;1849;23.8925043579314
FRA40620;1843;17.3210251954822
FRA20070;1771;27.0478184991274
FRA40561;1842;21.6880165289256
FRA01001;1910;18.360929557008
FRA40039;1881;16.5455489614243
FRA40007;1850;23.6434640522876
FRA40038;1865;24.1179831097864
FRA00701;1852;22.9206642066421
FRA20082;1783;22.4104178591872
FRA01002;1919;15.057945254177
FRA40134;1851;29.8971774193548
FRA07201;1886;24.2415590863952
FRA40608;1843;18.7364999096984
FRA05801;1912;19.0241002570694
FRA41176;1866;15.5929851909587
FRA40625;1875;19.8825246260489
FRA03903;1878;18.7046792686706
FRA40365;1863;30.5
FRA40617;1856;16.1529638799884
FRA40086;1866;23.0271559146907
FRA40058;1885;20.5896822358346
FRA40343;1890;20.4824927722454
FRA40057;1890;23.1604938271605
FRA40616;1856;17.6476913345984
FRA20058;1761;28.5989525199622
FRA41164;1870;12.7728171334432
FRA03002;1890;18.6691068814056
FRA40025;1864;22.5264593562466
FRA20060;1788;25.5768421052632
FRA40368;1880;23.5484194681385
FRA40454;1841;26.2719239746582
FRA41161;1858;19.4130201630202
FRA40024;1885;24.9971181556196
FRA40013;1866;17.1387955544068
FRA40612;1869;21.2166127292341
FRA20038;1766;30.3240136688413
FRA20084;1774;34.5589214380826
FRA40172;1885;20.2561713096064
FRA41179;1862;15.1359131321965
FRA40633;1857;15.4631235281524
FRA41175;1868;17.3243161553574
FRA40047;1883;25.0449660633484
FRA41151;1873;17.8638323049615
FRA40478;1874;21.2501799856012
rv1280;1977;14.6913347177648
rv0125;2012;41.5459558823529
rv0121;1999;27.9990103908956
rv1254;1957;12.3045267489712
rv1134;1955;13.0831830477908
rv0663;1987;17.2345450335726
rv0181;1970;12.1009575923393
rv0211;1937;18.8231564898232
rv1248;1986;18.5595238095238
rv0901;1916;18.7383853769992
rv0210;2009;43.5937161430119
rv1094;2006;12.7410583763766
rv1246;1987;18.3710543989255
rv1105;1952;13.9489334195217
rv0226;2013;31.0639940239044
rv0518;1988;37.5443548387097
rv1019;2003;20.4307692307692
rv1243;1984;16.0254732414115
rv0232;1991;18.2525974025974
rv0800;2008;12.4813944379162
rv0906;1930;14.9430715935335
rv1244;1990;20.6874149659864
rv0745;1911;17.2621339479393
rv1270;1996;9.91928764840658
rv0164;1927;38.8481624758221
rv0529;1993;47.8641114982578
rv0776;1908;24.6141906873614
rv0792;2011;12.990089197225
rv0120;2008;25.8308943089431
rv0201;1919;16.7878346384994
rv0604;1911;18.5137048466146
rv1109;1999;14.263497372193
rv0215;1984;18.3887480993411
rv1030;1968;11.9632252792155
rv0193;1981;18.7410668047644
rv1131;1948;13.4423879040667
rv1033;1972;10.3977099236641
rv0397;1900;18.3526305098517
rv0228;1999;15.8256484149856
rv1095;1999;12.7311356229631
rv1068;1977;13.7313139260425
rv1273;1999;14.2932738284986
rv0908;1930;28.1095041322314
rv0748;1919;42.9335288367546
rv0698;1992;20.8117501764291
rv0499;1980;23.288877174486
rv1104;1991;13.5057565789474
rv1149;1933;13.9554245717443
rv0554;1947;19.4580281690141
rv0547;1937;15.1944078947368
rv0772;1904;20.3796724065519
rv0683;1964;12.2031123686338
rv0575;1914;37.1930251419302
rv1255;1956;17.6801007556675
rv1079;1992;22.7562083585706
rv0236;1978;14.6543494996151
rv0681;1964;12.3654062149008
rv0582;1913;18.7782384721699
rv1064;1955;12.8119856509812
rv0692;1956;68.0173824130879
rv0661;1983;19.2615071283096
rv1044;1910;14.0012431863823
rv0907;1929;24.011120615911
rv0795;1996;13.5042245021123
rv0715;1908;21.084234490609
rv0511;2013;16.0066467264872
rv0555;2011;11.6281481481481
rv1107;1973;13.4804858299595
rv1227;1956;13.5159586681975
rv0240;1975;15.410437235543
rv0406;1919;43.2893982808023
rv0491;1933;16.7634755755194
rv0154;2005;17.2639503985828
rv0768;1936;19.0800830833141
rv1190;1989;14.1548292861055
rv0703;1902;17.4045886961388
rv1201;1956;15.1524064171123
rv0392;1904;21.0098730606488
rv0487;1951;16.7621961881448
rv0676;1985;14.6293136139553
rv1265;1967;12.441778697001
rv0789;1901;24.1870989530564
rv1222;1945;15.9827721221613
rv1098;2004;13.3129489603025
rv0905;1931;25.9622015915119
rv0184;1967;67.4189189189189
rv0553;1938;18.1042360060514
rv1275;2008;16.3156012000923
rv1043;1923;14.6155137050159
rv1269;1962;12.5753620232511
rv1146;1929;14.1647463108955
rv0398;1900;18.3529288263699
rv1196;1999;14.0526964560863
rv0324;1903;16.810492845787
rv0791;1997;14.8380984042553
rv0198;1978;37.5304232804233
rv0549;1965;13.6021468144044
rv1226;1955;12.5445106710248
rv1130;1948;15.7021461088229
rv0580;1912;18.3043977682967
rv0230;1997;20.0121880441091
rv1231;1983;18.70101171459
rv0774;1905;20.2519726459758
rv0809;2014;16.2736486486486
rv1124;1913;16.5845514281883
rv1192;1949;16.2515829463909
rv1276;1988;14.0541974169742
rv0500;1957;10.710810132932
rv1128;1909;17.0081050866406
rv0221;1954;16.8318300843759
rv1102;1960;13.1490619378052
rv1247;1985;15.4934302488119
rv1181;1983;13.5103614457831
rv1097;2008;12.5376863753213
rv1121;1908;19.7613861386139
rv1018;1996;20.8821081830791
rv0852;1913;40.2068136272545
rv0490;1934;12.4822756569162
rv0670;1967;18.3941790572604
rv0493;1951;13.6995805098419
rv1069;1997;16.1008695652174
rv1139;1959;12.2467464862051
rv0155;2013;17.4387755102041
rv0205;2001;35.990099009901
rv0744;1922;18.0887186457432
rv0521;1986;28.2759948652118
rv0677;1955;12.3233570531603
rv0151;2010;11.9491833030853
rv0386;1906;22.5689981096408
rv0360;1910;21.0876531573987
rv0495;1970;25.8587714820487
rv0488;1947;19.2365866121615
rv1263;1987;12.1902654867257
rv0743;1916;17.3427593659942
rv1070;1973;15.1880472021317
rv0212;1964;14.7293535416022
rv0666;1977;15.389087443412
rv0770;1940;17.0730121194206
rv0506;1957;56.0107344632768
rv1180;2003;13.0565762613007
rv0400;1902;22.8308469682387
rv1220;1941;13.5201443174985
rv0551;1996;12.9876295553327
rv0780;1912;17.5360216375707
rv0678;1995;13.272824102252
rv1188;1996;13.9632867132867
rv0520;1999;14.4215434083601
rv0679;1982;13.8291457286432
rv1279;2008;17.5510788199031
rv0122;1986;20.7498047383494
rv0700;1985;19.9415187229599
rv0161;1923;36.8501945525292
rv0363;1926;17.2463566967384
rv1067;1971;15.8645833333333
rv1032;1977;17.5308655907911
rv0202;1997;20.3760593220339
rv1229;1957;12.0203797247866
rv0385;1902;20.8609898107715
rv0794;2014;13.7076856649396
rv0338;1910;17.8477483917084
rv1241;1986;16.8174984966927
rv0804;1977;14.8768736616702
rv0558;1956;18.3936430317848
rv1061;1969;13.5928371856744
rv0805;1974;13.0379823761775
rv0203;1965;27.8396524486572
rv1207;1958;13.7997702909648
rv0188;1989;106.74953271028
rv0128;1959;12.6749319625038
rv0489;1931;13.628067361668
rv0855;1913;41.5512517713746
rv0213;1950;16.8644730412119
rv1015;1984;16.0311345646438
rv0798;1995;13.9767741935484
rv0540;1946;13.9059611093401
rv1073;1976;16.5370577281192
rv0191;2001;165.78453038674
rv0233;1972;14.3813559322034
rv0189;1969;40.531737773153
rv0239;1989;17.2425218591809
rv1185;1995;12.0505520819476
rv0904;1919;15.6043956043956
rv1261;1986;12.4896862913623
rv0152;2014;15.6505242136795
rv0227;2009;31.8953258722844
rv0522;1995;12.8396742162222
rv1256;1956;11.8493748182611
rv0401;1902;23.9478348949101
rv1093;1996;13.8842043337582
rv0497;1975;22.255333635951
rv0384;1909;26.6211332312404
rv0573;1910;31.527397260274
rv1080;1993;22.5176630434783
rv0165;1927;45.3372448979592
rv0533;2008;9.88505747126437
rv0542;1947;12.2925711203991
rv1278;2006;15.3306026916325
rv0192;1960;107.405679513185
rv0503;1960;13.2952962209482
rv1048;1917;19.2707171314741
rv1251;1959;11.5366880146386
rv1221;1942;15.1718179605744
rv0216;1986;14.7794054286945
rv0237;1992;13.9821366024518
rv0399;1900;20.0777202072539
rv0799;1993;15.9363750523231
rv0390;1905;19.7020536025061
rv0660;1963;13.1842746850874
rv1016;1989;16.3432471964895
rv1133;1954;11.4978975535168
rv0196;1961;22.2640136927685
rv1277;1978;13.9521754143646
rv0383;1926;16.2330218407041
rv0773;1904;17.8087714519205
rv1186;1996;14.6211437170805
rv0850;1904;22.8702543309989
