;year;avgsentlen
FRA40008;1849.0;23.892504357931436
FRA40620;1843.0;17.32102519548219
FRA20070;1771.0;27.0478184991274
FRA40561;1842.0;21.68801652892562
FRA01001;1910.0;18.36092955700799
FRA40039;1881.0;16.545548961424334
FRA40007;1850.0;23.64346405228758
FRA40038;1865.0;24.117983109786387
FRA00701;1852.0;22.920664206642066
FRA20082;1783.0;22.410417859187177
FRA01002;1919.0;15.057945254177035
FRA40134;1851.0;29.89717741935484
FRA07201;1886.0;24.241559086395235
FRA40608;1843.0;18.73649990969839
FRA05801;1912.0;19.02410025706941
FRA41176;1866.0;15.592985190958691
FRA40625;1875.0;19.882524626048887
FRA03903;1878.0;18.704679268670592
FRA40365;1863.0;30.5
FRA40617;1856.0;16.15296387998835
FRA40086;1866.0;23.027155914690688
FRA40058;1885.0;20.58968223583461
FRA40343;1890.0;20.482492772245422
FRA40057;1890.0;23.160493827160494
FRA40616;1856.0;17.647691334598356
FRA20058;1761.0;28.59895251996222
FRA41164;1870.0;12.772817133443164
FRA03002;1890.0;18.669106881405565
FRA40025;1864.0;22.52645935624659
FRA20060;1788.0;25.576842105263157
FRA40368;1880.0;23.548419468138484
FRA40454;1841.0;26.27192397465822
FRA41161;1858.0;19.413020163020164
FRA40024;1885.0;24.997118155619596
FRA40013;1866.0;17.138795554406823
FRA40612;1869.0;21.21661272923409
FRA20038;1766.0;30.324013668841253
FRA20084;1774.0;34.55892143808256
FRA40172;1885.0;20.256171309606422
FRA41179;1862.0;15.135913132196473
FRA40633;1857.0;15.46312352815243
FRA41175;1868.0;17.324316155357412
FRA40047;1883.0;25.044966063348415
FRA41151;1873.0;17.86383230496154
FRA40478;1874.0;21.25017998560115
